"DateTime","NZU Volatility Prices - Percentages","NZUs - April 2022","NZUs - April 2023","NZUs - April 2024","NZUs - April 2025","NZUs - April 2026","NZUs - April 2027","NZUs - April 2028","NZUs - April 2029","NZUs - Spot"
"2020-12-01",,,,,,,,,,35.8
"2020-12-02",,,,,,,,,,35.8
"2020-12-03",,,,,,,,,,36.25
"2020-12-04",,,,,,,,,,36.6
"2020-12-07",,,,,,,,,,37.2
"2020-12-08",,,,,,,,,,37.5
"2020-12-09",,,,,,,,,,38
"2020-12-10",,,,,,,,,,38.05
"2020-12-11",,,,,,,,,,38
"2020-12-14",,,,,,,,,,37.8
"2020-12-15",,,,,,,,,,37.6
"2020-12-16",,,,,,,,,,37.6
"2020-12-17",,,,,,,,,,37.6
"2020-12-18",,,,,,,,,,37.65
"2020-12-21",,,,,,,,,,37.65
"2020-12-22",,,,,,,,,,37.62
"2020-12-23",,,,,,,,,,37.6
"2020-12-24",,,,,,,,,,37.55
"2020-12-29",,,,,,,,,,37.55
"2020-12-30",,,,,,,,,,37.55
"2020-12-31",,,,,,,,,,37.55
"2021-01-05",,,,,,,,,,37.67
"2021-01-06",,,,,,,,,,37.67
"2021-01-07",,,,,,,,,,37.67
"2021-01-08",,,,,,,,,,37.67
"2021-01-11",,,,,,,,,,37.67
"2021-01-12",,,,,,,,,,37.95
"2021-01-13",,,,,,,,,,38.2
"2021-01-14",,,,,,,,,,38.4
"2021-01-15",,,,,,,,,,38.45
"2021-01-18",,,,,,,,,,38.2
"2021-01-19",,,,,,,,,,38.4
"2021-01-20",,,,,,,,,,38.4
"2021-01-21",,,,,,,,,,38.32
"2021-01-22",,,,,,,,,,38.4
"2021-01-26",,,,,,,,,,38.4
"2021-01-27",,,,,,,,,,38.5
"2021-01-28",,,,,,,,,,38.5
"2021-01-29",,,,,,,,,,38.6
"2021-02-02",,,,,,,,,,39.6
"2021-02-03",,,,,,,,,,39.5
"2021-02-04",,,,,,,,,,39.5
"2021-02-05",,,,,,,,,,39.4
"2021-02-09",,,,,,,,,,39.1
"2021-02-10",,,,,,,,,,39.1
"2021-02-11",,,,,,,,,,39.1
"2021-02-12",,,,,,,,,,39.1
"2021-02-15",,,,,,,,,,39.2
"2021-02-16",,,,,,,,,,39.2
"2021-02-17",,,,,,,,,,39.2
"2021-02-18",,,,,,,,,,39.2
"2021-02-19",,,,,,,,,,39.2
"2021-02-22",,,,,,,,,,39.3
"2021-02-23",,,,,,,,,,39.2
"2021-02-24",,,,,,,,,,39.2
"2021-02-25",,,,,,,,,,39
"2021-02-26",,,,,,,,,,39.02
"2021-03-01",,,,,,,,,,39.05
"2021-03-02",,,,,,,,,,38.92
"2021-03-03",,,,,,,,,,39
"2021-03-04",,,,,,,,,,38.8
"2021-03-05",,,,,,,,,,38.9
"2021-03-08",,,,,,,,,,38.97
"2021-03-09",,,,,,,,,,38.9
"2021-03-10",,,,,,,,,,38.9
"2021-03-11",,,,,,,,,,38.75
"2021-03-12",,,,,,,,,,38.7
"2021-03-15",,,,,,,,,,38.7
"2021-03-16",,,,,,,,,,38.7
"2021-03-17",,,,,,,,,,37.25
"2021-03-18",,,,,,,,,,37.25
"2021-03-19",,,,,,,,,,37.2
"2021-03-22",,,,,,,,,,37.07
"2021-03-23",,,,,,,,,,36.95
"2021-03-24",,,,,,,,,,37
"2021-03-25",,,,,,,,,,37
"2021-03-26",,,,,,,,,,37
"2021-03-29",,,,,,,,,,37
"2021-03-30",,,,,,,,,,36.9
"2021-03-31",,,,,,,,,,36.9
"2021-04-01",,,,,,,,,,37
"2021-04-06",,,,,,,,,,37.02
"2021-04-07",,,,,,,,,,36.95
"2021-04-08",,,,,,,,,,37
"2021-04-09",,,,,,,,,,37
"2021-04-12",,,,,,,,,,37.15
"2021-04-13",,,,,,,,,,37.25
"2021-04-14",,,,,,,,,,37.3
"2021-04-15",,,,,,,,,,37.3
"2021-04-16",,,,,,,,,,37.32
"2021-04-19",,,,,,,,,,37.3
"2021-04-20",,,,,,,,,,37.3
"2021-04-21",,,,,,,,,,37.3
"2021-04-22",,,,,,,,,,37.5
"2021-04-23",,,,,,,,,,37.6
"2021-04-27",,,,,,,,,,37.55
"2021-04-28",,,,,,,,,,37.45
"2021-04-29",,,,,,,,,,37.47
"2021-04-30",,,,,,,,,,37.52
"2021-05-03",,,,,,,,,,37.5
"2021-05-04",,,,,,,,,,37.5
"2021-05-05",,,,,,,,,,37.45
"2021-05-06",,,,,,,,,,37.4
"2021-05-07",,,,,,,,,,37.4
"2021-05-10",,,,,,,,,,37.35
"2021-05-11",,,,,,,,,,37.25
"2021-05-12",,,,,,,,,,37.2
"2021-05-13",,,,,,,,,,37
"2021-05-14",,,,,,,,,,37
"2021-05-17",,,,,,,,,,37.25
"2021-05-18",,,,,,,,,,37.07
"2021-05-19",,,,,,,,,,36.97
"2021-05-20",,,,,,,,,,37.05
"2021-05-21",,,,,,,,,,37.05
"2021-05-24",,,,,,,,,,36.55
"2021-05-25",,,,,,,,,,36.65
"2021-05-26",,,,,,,,,,36.75
"2021-05-27",,,,,,,,,,37.05
"2021-05-28",,,,,,,,,,37
"2021-05-31",,,,,,,,,,37
"2021-06-01",,,,,,,,,,37.4
"2021-06-02",,,,,,,,,,37.6
"2021-06-03",,,,,,,,,,37.9
"2021-06-04",,,,,,,,,,38.1
"2021-06-08",,,,,,,,,,39.2
"2021-06-09",,,,,,,,,,40.15
"2021-06-10",,,,,,,,,,40.15
"2021-06-11",,,,,,,,,,40.35
"2021-06-14",,,,,,,,,,40.6
"2021-06-15",,,,,,,,,,40.85
"2021-06-16",,,,,,,,,,41.2
"2021-06-17",,,,,,,,,,41.3
"2021-06-18",,,,,,,,,,41.05
"2021-06-21",,,,,,,,,,40.97
"2021-06-22",,,,,,,,,,40.9
"2021-06-23",,,,,,,,,,43.25
"2021-06-24",,,,,,,,,,43.6
"2021-06-25",,,,,,,,,,43.1
"2021-06-28",,,,,,,,,,43.35
"2021-06-29",,,,,,,,,,43.45
"2021-06-30",,,,,,,,,,43.47
"2021-07-01",,,,,,,,,,44
"2021-07-02",,,,,,,,,,44.35
