"DateTime","CEA Closing Price"
"2022-02-24",58
"2022-02-25",58.53
"2022-02-28",57.74
"2022-03-01",57.8
"2022-03-02",57.9
"2022-03-03",57.9
"2022-03-04",57.9
"2022-03-07",57.04
"2022-03-08",57
"2022-03-09",58
"2022-03-10",57.26
"2022-03-11",57.6
"2022-03-14",58
"2022-03-15",57.77
"2022-03-16",57
"2022-03-17",57
"2022-03-18",58
"2022-03-21",58.5
"2022-03-22",58
"2022-03-23",58.4
"2022-03-24",58.01
"2022-03-25",58
"2022-03-28",58
"2022-03-29",58.5
"2022-03-30",58.5
"2022-03-31",58.55
"2022-04-01",58.5
"2022-04-06",60
"2022-04-07",59
"2022-04-08",59.99
"2022-04-11",60
"2022-04-13",60
"2022-04-14",60
"2022-04-18",60
"2022-04-19",60
"2022-04-20",60
"2022-04-21",60
"2022-04-22",60
"2022-04-27",59
"2022-04-28",59
"2022-04-29",58.8
"2022-05-05",58
"2022-05-10",58
"2022-05-11",58
"2022-05-12",58
"2022-05-13",58
"2022-05-16",58
"2022-05-17",58
"2022-05-20",58
"2022-05-24",59.18
"2022-05-25",59
"2022-05-30",59
"2022-06-02",59
"2022-06-06",59
"2022-06-07",59
"2022-06-08",59
"2022-06-10",59
"2022-06-13",59
"2022-06-14",59
"2022-06-15",59
"2022-06-16",59
"2022-06-17",59
"2022-06-20",59.25
"2022-06-21",59.6
"2022-06-22",60
"2022-06-27",60
"2022-06-28",59
"2022-06-29",58
"2022-06-30",57.5
"2022-07-01",58
"2022-07-04",59
"2022-07-05",57.5
"2022-07-06",57.27
"2022-07-07",59
"2022-07-08",57.02
"2022-07-11",58
"2022-07-12",58
"2022-07-13",59.1
"2022-07-14",57.26
"2022-07-15",58.24
"2022-07-18",57.6
"2022-07-19",57.4
"2022-07-20",57.34
"2022-07-21",58.22
"2022-07-22",57
"2022-07-25",57.3
"2022-07-26",57.3
"2022-07-27",57
"2022-07-28",58.96
"2022-07-29",58
"2022-08-01",58.68
"2022-08-02",57.35
"2022-08-03",57.5
"2022-08-04",57.5
"2022-08-05",58.5
"2022-08-08",59
"2022-08-09",58.88
"2022-08-10",58
"2022-08-11",58
"2022-08-15",58
"2022-08-16",58
"2022-08-17",58
"2022-08-18",58
"2022-08-19",58
"2022-08-22",58
"2022-08-23",58.8
"2022-08-24",58.42
"2022-08-25",58.5
"2022-08-26",58.5
"2022-08-30",58
"2022-08-31",58
"2022-09-01",58
"2022-09-02",58
"2022-09-05",58.5
"2022-09-06",58.98
"2022-09-07",58.99
"2022-09-08",58.5
"2022-09-09",58
"2022-09-13",58
"2022-09-14",58.5
"2022-09-15",58
"2022-09-16",58
"2022-09-19",58
"2022-09-20",58
"2022-09-21",58
"2022-09-22",58
"2022-09-23",57.48
"2022-09-26",57.5
"2022-09-27",57.5
"2022-09-28",57.5
"2022-09-29",57.5
"2022-09-30",57.5
"2022-10-10",57.5
"2022-10-11",58.34
"2022-10-12",58
"2022-10-13",57.75
"2022-10-14",58
"2022-10-17",58.48
"2022-10-18",58
"2022-10-19",58.5
"2022-10-20",57.55
"2022-10-21",58.49
"2022-10-24",58
"2022-10-25",58.7
"2022-10-26",58
"2022-10-27",58.5
"2022-10-28",58
"2022-11-01",58
"2022-11-03",58
"2022-11-07",58.08
"2022-11-08",57.87
"2022-11-09",58
"2022-11-10",58
"2022-11-11",58
"2022-11-14",57.87
"2022-11-15",57.5
"2022-11-16",57.8
"2022-11-18",57.5
"2022-11-21",57.8
"2022-11-23",58
"2022-11-25",57.8
"2022-11-30",57.52
"2022-12-01",57.7
"2022-12-02",57.69
"2022-12-05",57
"2022-12-06",57.39
"2022-12-07",57.44
"2022-12-08",57.5
"2022-12-09",57.03
"2022-12-12",56.8
"2022-12-13",56.55
"2022-12-14",55.3
"2022-12-15",57
"2022-12-19",55
"2022-12-20",56
"2022-12-22",56.5
"2022-12-26",56.26
"2022-12-27",56.3
"2022-12-28",55.9
"2022-12-29",55
"2022-12-30",55
"2023-01-03",55
"2023-01-04",55
"2023-01-05",55
"2023-01-06",56
"2023-01-09",56
"2023-01-10",56
"2023-01-11",55.73
"2023-01-12",55.5
"2023-01-13",55.5
"2023-01-16",55.73
"2023-01-17",55.73
"2023-01-18",56
"2023-01-19",56
"2023-01-20",56
"2023-01-30",56
"2023-01-31",56
"2023-02-01",56
"2023-02-02",56
"2023-02-03",56
"2023-02-06",56
"2023-02-07",56
"2023-02-08",56
"2023-02-10",56
"2023-02-13",56
"2023-02-15",56.04
"2023-02-16",56.3
"2023-02-17",56.3
"2023-02-20",56.2
"2023-02-21",57
"2023-02-22",57
"2023-02-23",56.5
"2023-02-27",55
"2023-02-28",55
"2023-03-01",55.5
"2023-03-02",55
"2023-03-03",56
"2023-03-06",55.5
"2023-03-07",56
"2023-03-08",56
"2023-03-09",56
"2023-03-10",56
"2023-03-13",56
"2023-03-14",56
"2023-03-15",56
"2023-03-16",56
"2023-03-20",57
"2023-03-21",56
"2023-03-22",56
"2023-03-23",56
"2023-03-24",56
"2023-03-27",56
"2023-03-29",56
"2023-03-30",56.7
"2023-03-31",56
"2023-04-06",50.52
"2023-04-07",55.4
"2023-04-10",56
"2023-04-11",56
"2023-04-12",56
"2023-04-13",56
"2023-04-14",56
"2023-04-17",56
"2023-04-18",56
"2023-04-19",56
"2023-04-20",53.4
"2023-04-24",53.4
"2023-04-25",53.4
"2023-04-26",54.92
"2023-04-27",55
"2023-04-28",55
"2023-05-04",55.5
"2023-05-05",55.5
"2023-05-08",56
"2023-05-10",56
"2023-05-11",56
"2023-05-12",56
"2023-05-16",56.5
"2023-05-17",56.25
"2023-05-18",57.93
"2023-05-19",57
"2023-05-22",57.21
"2023-05-23",56
"2023-05-24",57
"2023-05-25",57
"2023-05-26",57
"2023-05-29",57
"2023-05-30",57
"2023-05-31",58.5
"2023-06-01",57.51
"2023-06-02",58.5
"2023-06-05",58.5
"2023-06-06",58.5
"2023-06-07",58.5
"2023-06-08",58.6
"2023-06-09",58.5
"2023-06-13",57
"2023-06-14",57
"2023-06-16",57.8
"2023-06-19",57.8
"2023-06-20",57.53
"2023-06-21",57
"2023-06-27",57.4
"2023-06-28",57.5
"2023-06-29",57.98
"2023-06-30",60
"2023-07-03",60
"2023-07-06",59
"2023-07-07",58.17
"2023-07-10",59
"2023-07-11",60
"2023-07-12",59.75
"2023-07-13",60
"2023-07-17",60
"2023-07-18",61.02
"2023-07-19",61
"2023-07-20",61
"2023-07-21",63.43
"2023-07-24",64
"2023-07-25",64
"2023-07-26",61.12
"2023-07-27",64
"2023-07-28",61.05
"2023-07-31",64.74
"2023-08-01",64.99
"2023-08-02",64.97
"2023-08-03",64.27
"2023-08-04",66
"2023-08-08",67
"2023-08-09",67.93
"2023-08-10",69.52
"2023-08-11",69.9
"2023-08-14",68.33
"2023-08-15",70.07
"2023-08-16",70
"2023-08-17",70.1
"2023-08-18",72.85
"2023-08-21",67.5
"2023-08-22",72.73
"2023-08-23",74.76
"2023-08-24",72.3
"2023-08-25",73.06
"2023-08-28",73.53
"2023-08-29",69.18
"2023-08-31",68.79
"2023-09-01",68.43
"2023-09-04",68.41
"2023-09-05",66.21
"2023-09-06",69.94
"2023-09-07",71.28
"2023-09-08",72.22
"2023-09-11",72.75
"2023-09-12",72.82
"2023-09-13",72.81
"2023-09-14",74.01
"2023-09-15",74.76
"2023-09-18",74.6
"2023-09-19",75.13
"2023-09-20",74.64
"2023-09-21",75.06
"2023-09-22",75.34
"2023-09-25",74.88
"2023-09-26",76.06
"2023-09-27",76.13
"2023-09-28",76.04
"2023-10-09",76.99
"2023-10-10",79.09
"2023-10-11",78.76
"2023-10-12",80.74
"2023-10-13",80.17
"2023-10-16",81.33
"2023-10-17",81.27
"2023-10-18",81.15
"2023-10-19",81.22
"2023-10-20",81.67
"2023-10-23",81.43
"2023-10-24",81.09
"2023-10-25",81.26
"2023-10-26",80.7
"2023-10-27",78.71
"2023-10-30",79.56
"2023-10-31",78.05
"2023-11-01",77.53
"2023-11-02",76.91
"2023-11-06",75.2
"2023-11-07",74.4
"2023-11-08",73.95
"2023-11-09",72.83
"2023-11-10",71.14
"2023-11-13",71.81
"2023-11-14",71.7
"2023-11-15",73.31
"2023-11-16",71.53
"2023-11-17",72.47
"2023-11-20",72.51
"2023-11-21",72.52
"2023-11-22",71.67
"2023-11-23",72.04
"2023-11-24",71.84
"2023-11-27",72.11
"2023-11-28",72.7
"2023-11-29",70.95
"2023-11-30",70.45
"2023-12-01",70.53
"2023-12-04",72.64
"2023-12-05",71.7
"2023-12-06",70.21
"2023-12-07",67.91
"2023-12-08",70.71
"2023-12-11",70.38
"2023-12-12",70.81
"2023-12-13",71.33
"2023-12-14",71.43
"2023-12-15",71.35
"2023-12-18",71.61
"2023-12-19",72.24
"2023-12-20",72.7
"2023-12-21",77.82
"2023-12-22",80.64
"2023-12-25",80.99
"2023-12-26",79.84
"2023-12-27",78.97
"2023-12-28",79.34
"2023-12-29",79.42
"2024-01-02",76.81
"2024-01-04",74.99
"2024-01-05",73.36
"2024-01-08",71
"2024-01-09",71.01
"2024-01-10",72.33
"2024-01-11",72.34
"2024-01-15",72.33
"2024-01-16",72
"2024-01-19",71.99
"2024-01-22",70.67
"2024-01-23",72.18
"2024-01-24",72.81
"2024-01-26",72.87
"2024-01-29",71.43
"2024-01-30",69.67
"2024-01-31",71.87
"2024-02-01",72.27
"2024-02-02",74.53
"2024-02-05",74.86
"2024-02-07",74.67
"2024-02-20",77.33
"2024-02-21",79.03
"2024-02-22",79.33
"2024-02-23",78.33
"2024-02-26",79.24
"2024-02-27",79.13
"2024-02-28",79.47
"2024-02-29",81.64
"2024-03-01",79.67
"2024-03-04",80.95
"2024-03-05",80.97
"2024-03-06",82.46
"2024-03-07",83.27
"2024-03-08",83.33
"2024-03-11",83.1
"2024-03-12",85.57
"2024-03-13",85.95
"2024-03-14",80.04
"2024-03-15",80
"2024-03-18",80.5
"2024-03-19",81
"2024-03-20",84.88
"2024-03-21",83.83
"2024-03-25",85.42
"2024-03-26",85.96
"2024-03-27",89.64
"2024-03-29",90.66
"2024-04-02",87.85
"2024-04-03",87.67
"2024-04-08",87.62
"2024-04-09",88.35
"2024-04-10",86.37
"2024-04-11",87.9
"2024-04-12",91.84
"2024-04-15",92.33
"2024-04-16",89.57
"2024-04-17",90.58
"2024-04-18",92.62
"2024-04-19",94.39
"2024-04-22",96.26
"2024-04-23",99.6
"2024-04-24",100.59
"2024-04-25",102.41
"2024-04-26",102.49
"2024-04-29",103.47
"2024-04-30",103
"2024-05-07",101.67
"2024-05-08",101.09
"2024-05-09",98.09
"2024-05-10",99
"2024-05-13",97
"2024-05-14",97.84
"2024-05-15",97.42
"2024-05-16",99.39
"2024-05-20",97.32
"2024-05-21",97.72
"2024-05-22",100.26
"2024-05-23",98.51
"2024-05-24",98.97
"2024-05-27",98.83
"2024-05-28",97.17
"2024-05-29",95.11
"2024-05-30",93.84
"2024-05-31",93.23
"2024-06-04",94.23
"2024-06-05",96
"2024-06-07",96.07
"2024-06-11",92.83
"2024-06-12",96.17
"2024-06-13",96.48
"2024-06-14",94.67
"2024-06-18",94.5
"2024-06-19",92.71
"2024-06-20",91.41
"2024-06-21",91.43
"2024-06-24",91.08
"2024-06-25",88.88
"2024-06-26",92.87
"2024-06-27",92.13
"2024-06-28",90.66
"2024-07-01",88.38
"2024-07-02",91.33
"2024-07-03",90.8
"2024-07-05",90.61
"2024-07-08",90.63
"2024-07-09",90.87
"2024-07-10",90.82
"2024-07-11",89.88
"2024-07-12",90.18
"2024-07-15",87.05
"2024-07-16",87.57
"2024-07-17",86.86
"2024-07-18",87.5
"2024-07-19",88.61
"2024-07-22",89.11
"2024-07-23",88.4
"2024-07-24",90.94
"2024-07-25",90.46
"2024-07-26",91.6
"2024-07-30",91.21
"2024-07-31",91.2
"2024-08-01",90.17
"2024-08-02",90.13
