"DateTime","I-KCU20 Closing Price","I-KCU21 Closing Price","I-KOC20-22 Closing Price","I-KOC21-23 Closing Price","KAU Closing Price","KCU Closing Price","KOC20-22 Closing Price","KOC21-23 Closing Price"
"2018-03-15",,,,,22000,21800,23000,
"2018-03-16",,,,,22200,21800,22500,
"2018-03-19",,,,,22000,21800,22200,
"2018-03-20",,,,,22000,21800,22200,
"2018-03-21",,,,,22000,21800,22200,
"2018-03-22",,,,,22000,21800,22200,
"2018-03-23",,,,,22000,21800,22200,
"2018-03-26",,,,,22200,21800,22200,
"2018-03-27",,,,,22000,21800,22200,
"2018-03-28",,,,,22000,21800,22200,
"2018-03-29",,,,,22000,21800,22200,
"2018-03-30",,,,,22000,21800,22200,
"2018-04-02",,,,,22000,21800,22200,
"2018-04-03",,,,,22100,21800,22200,
"2018-04-04",,,,,22000,21800,22200,
"2018-04-05",,,,,21900,21800,22200,
"2018-04-06",,,,,21800,21800,22200,
"2018-04-09",,,,,21800,21800,22200,
"2018-04-10",,,,,21800,21800,22200,
"2018-04-11",,,,,21800,21800,22200,
"2018-04-12",,,,,21900,21800,22200,
"2018-04-13",,,,,21900,21800,22200,
"2018-04-16",,,,,21900,21800,22200,
"2018-04-17",,,,,21950,21800,22200,
"2018-04-18",,,,,22000,21800,22200,
"2018-04-19",,,,,22000,21800,22200,
"2018-04-20",,,,,22000,21800,22200,
"2018-04-23",,,,,22000,21800,22200,
"2018-04-24",,,,,22000,21800,22200,
"2018-04-25",,,,,22100,21800,22200,
"2018-04-26",,,,,22000,21800,22200,
"2018-04-27",,,,,22000,21800,22200,
"2018-04-30",,,,,22100,21800,22200,
"2018-05-02",,,,,22000,21800,22200,
"2018-05-03",,,,,22000,21800,22200,
"2018-05-04",,,,,22000,21800,22200,
"2018-05-08",,,,,22000,21800,22200,
"2018-05-09",,,,,22000,21800,22200,
"2018-05-10",,,,,22050,21800,22200,
"2018-05-11",,,,,22050,21800,22200,
"2018-05-14",,,,,22050,21800,22200,
"2018-05-15",,,,,22100,21800,22200,
"2018-05-16",,,,,22150,21800,22200,
"2018-05-17",,,,,22200,21800,22200,
"2018-05-18",,,,,22300,21800,22200,
"2018-05-21",,,,,22400,21800,22200,
"2018-05-23",,,,,22600,21800,22200,
"2018-05-24",,,,,23000,21800,22700,
"2018-05-25",,,,,25300,21800,24500,
"2018-05-28",,,,,26000,21800,24500,
"2018-05-29",,,,,25700,21800,24500,
"2018-05-30",,,,,23150,21800,24500,
"2018-05-31",,,,,23200,21800,24500,
"2018-06-01",,,,,23000,21800,24500,
"2018-06-04",,,,,22800,21800,24500,
"2018-06-05",,,,,22650,21800,24500,
"2018-06-07",,,,,22200,21800,24500,
"2018-06-08",,,,,21700,21800,24500,
"2018-06-11",,,,,21500,21800,24500,
"2018-06-12",,,,,21500,21800,24500,
"2018-06-14",,,,,21500,21800,24500,
"2018-06-15",,,,,21500,21800,24500,
"2018-06-18",,,,,21700,21800,24500,
"2018-06-19",,,,,21700,21800,24500,
"2018-06-20",,,,,21550,21800,24500,
"2018-06-21",,,,,21600,21800,24500,
"2018-06-22",,,,,21600,21800,24500,
"2018-06-25",,,,,21950,21800,24500,
"2018-06-26",,,,,23000,21800,24500,
"2018-06-27",,,,,23900,21800,24500,
"2018-06-28",,,,,26250,21800,24500,
"2018-06-29",,,,,28000,21800,26000,
"2018-07-02",,,,,28000,21800,25800,
"2018-07-03",,,,,28000,21800,25800,
"2018-07-04",,,,,28000,21800,25800,
"2018-07-05",,,,,28000,21800,25800,
"2018-07-06",,,,,28000,21800,25800,
"2018-07-09",,,,,28000,21800,25800,
"2018-07-10",,,,,28000,21800,25800,
"2018-07-11",,,,,28000,21800,25800,
"2018-07-12",,,,,28000,21800,25800,
"2018-07-13",,,,,28000,21800,25000,
"2018-07-16",,,,,28000,21800,25000,
"2018-07-17",,,,,25200,21800,25000,
"2018-07-18",,,,,22700,21800,25000,
"2018-07-19",,,,,22700,21800,25000,
"2018-07-20",,,,,22700,21800,25000,
"2018-07-23",,,,,22700,21800,25000,
"2018-07-24",,,,,22700,21800,25000,
"2018-07-25",,,,,22700,21800,25000,
"2018-07-26",,,,,22700,21800,25000,
"2018-07-27",,,,,22700,21800,25000,
"2018-07-30",,,,,22700,21800,25000,
"2018-07-31",,,,,22500,21800,25000,
"2018-08-01",,,,,22000,21800,25000,
"2018-08-02",,,,,21700,21800,25000,
"2018-08-03",,,,,21700,21800,25000,
"2018-08-06",,,,,21700,21800,25000,
"2018-08-07",,,,,21600,21800,25000,
"2018-08-08",,,,,21600,21800,25000,
"2018-08-09",,,,,21600,21800,25000,
"2018-08-10",,,,,21600,21800,25000,
"2018-08-13",,,,,21600,21800,25000,
"2018-08-14",,,,,21600,21800,25000,
"2018-08-16",,,,,21600,21800,25000,
"2018-08-17",,,,,21600,21800,25000,
"2018-08-20",,,,,21600,21800,25000,
"2018-08-21",,,,,21600,21800,25000,
"2018-08-22",,,,,21600,21800,25000,
"2018-08-23",,,,,21600,21800,25000,
"2018-08-24",,,,,21600,21800,25000,
"2018-08-27",,,,,21600,21800,25000,
"2018-08-28",,,,,21600,21800,25000,
"2018-08-29",,,,,21600,21800,25000,
"2018-08-30",,,,,21600,21800,25000,
"2018-08-31",,,,,21600,21800,25000,
"2018-09-03",,,,,21600,21800,25000,
"2018-09-04",,,,,21600,21800,25000,
"2018-09-05",,,,,22000,21800,25000,
"2018-09-06",,,,,22000,21800,25000,
"2018-09-07",,,,,22000,21800,25000,
"2018-09-10",,,,,22000,21800,25000,
"2018-09-11",,,,,22050,21800,25000,
"2018-09-12",,,,,22050,21800,25000,
"2018-09-13",,,,,22050,21800,25000,
"2018-09-14",,,,,22050,21800,25000,
"2018-09-17",,,,,22050,21800,25000,
"2018-09-18",,,,,22000,21800,25000,
"2018-09-19",,,,,22000,21800,25000,
"2018-09-20",,,,,22000,21800,25000,
"2018-09-21",,,,,22000,21800,25000,
"2018-09-27",,,,,22000,21800,25000,
"2018-09-28",,,,,22200,21800,25000,
"2018-10-01",,,,,22200,21800,25000,
"2018-10-02",,,,,22200,21800,25000,
"2018-10-04",,,,,22200,21800,25000,
"2018-10-05",,,,,22400,21800,25000,
"2018-10-08",,,,,22400,21800,25000,
"2018-10-10",,,,,22400,21800,25000,
"2018-10-11",,,,,22400,21800,25000,
"2018-10-12",,,,,22400,21800,25000,
"2018-10-15",,,,,22400,21800,25000,
"2018-10-16",,,,,22600,21800,25000,
"2018-10-17",,,,,22600,21800,25000,
"2018-10-18",,,,,22600,21800,25000,
"2018-10-19",,,,,22800,21800,25000,
"2018-10-22",,,,,22800,21800,25000,
"2018-10-23",,,,,22900,21800,25000,
"2018-10-24",,,,,22900,21800,25000,
"2018-10-25",,,,,22900,21800,25000,
"2018-10-26",,,,,22900,21800,25000,
"2018-10-29",,,,,23200,21800,25000,
"2018-10-30",,,,,23200,21800,25000,
"2018-10-31",,,,,23200,21800,25000,
"2018-11-01",,,,,23200,21800,25000,
"2018-11-02",,,,,23200,21800,25000,
"2018-11-05",,,,,23200,21800,24500,
"2018-11-06",,,,,23200,21800,23500,
"2018-11-07",,,,,23200,21800,23500,
"2018-11-08",,,,,23200,21800,23500,
"2018-11-09",,,,,23300,21800,23500,
"2018-11-12",,,,,23300,21800,23700,
"2018-11-13",,,,,23300,21800,23700,
"2018-11-14",,,,,23300,21800,23700,
"2018-11-15",,,,,23300,21800,23700,
"2018-11-16",,,,,23500,21800,23700,
"2018-11-19",,,,,23500,21800,23700,
"2018-11-20",,,,,23500,21800,23700,
"2018-11-21",,,,,23550,21800,23700,
"2018-11-22",,,,,24500,21800,23700,
"2018-11-23",,,,,24000,21800,23700,
"2018-11-26",,,,,23500,21800,23700,
"2018-11-27",,,,,23500,21800,23700,
"2018-11-28",,,,,23550,21800,23700,
"2018-11-29",,,,,24000,21800,23700,
"2018-11-30",,,,,24000,21800,23900,
"2018-12-03",,,,,24000,21800,23900,
"2018-12-04",,,,,24000,21800,23900,
"2018-12-05",,,,,24000,21800,23950,
"2018-12-06",,,,,24000,21800,24000,
"2018-12-07",,,,,24000,21800,24000,
"2018-12-10",,,,,25000,21800,24000,
"2018-12-11",,,,,25000,21800,24000,
"2018-12-12",,,,,25000,21800,24500,
"2018-12-13",,,,,25000,21800,24500,
"2018-12-14",,,,,25000,21800,24500,
"2018-12-17",,,,,25000,21800,24500,
"2018-12-18",,,,,25000,21800,24500,
"2018-12-19",,,,,24000,21800,24500,
"2018-12-20",,,,,24000,21800,24500,
"2018-12-21",,,,,24000,21800,24500,
"2018-12-24",,,,,25000,21800,24500,
"2018-12-26",,,,,25000,21800,24500,
"2018-12-27",,,,,25000,21800,24500,
"2018-12-28",,,,,25000,21800,24500,
"2019-01-02",,,,,25000,21800,24500,
"2019-01-03",,,,,25000,21800,24500,
"2019-01-04",,,,,25000,21800,25000,
"2019-01-07",,,,,25000,21800,25000,
"2019-01-08",,,,,25000,21800,25000,
"2019-01-09",,,,,25000,21800,25000,
"2019-01-10",,,,,25000,21800,25000,
"2019-01-11",,,,,25000,21800,25000,
"2019-01-14",,,,,25000,21800,25000,
"2019-01-15",,,,,25000,21800,25000,
"2019-01-16",,,,,25000,21800,25000,
"2019-01-17",,,,,25000,21800,25000,
"2019-01-18",,,,,25000,21800,25000,
"2019-01-21",,,,,25000,21800,25000,
"2019-01-22",,,,,25000,21800,25000,
"2019-01-23",,,,,25000,21800,25000,
"2019-01-24",,,,,25000,21800,25000,
"2019-01-25",,,,,25500,21800,25000,
"2019-01-28",,,,,25500,21800,25000,
"2019-01-29",,,,,25500,21800,25000,
"2019-01-30",,,,,25500,21800,25000,
"2019-01-31",,,,,25500,21800,25500,
"2019-02-01",,,,,25500,21800,25500,
"2019-02-07",,,,,25500,21800,25500,
"2019-02-08",,,,,25500,21800,25500,
"2019-02-11",,,,,25500,21800,25500,
"2019-02-12",,,,,25550,21800,25500,
"2019-02-13",,,,,25550,21800,25500,
"2019-02-14",,,,,27050,21800,25500,
"2019-02-15",,,,,27050,21800,25550,
"2019-02-18",,,,,27000,21800,25550,
"2019-02-19",,,,,27000,21800,26000,
"2019-02-20",,,,,26000,21800,26000,
"2019-02-21",,,,,26000,21800,26000,
"2019-02-22",,,,,26000,21800,26050,
"2019-02-25",,,,,26000,21800,26050,
"2019-02-26",,,,,26050,21800,26050,
"2019-02-27",,,,,26150,21800,26050,
"2019-02-28",,,,,26500,21800,26050,
"2019-03-04",,,,,26500,21800,26050,
"2019-03-05",,,,,26500,21800,26050,
"2019-03-06",,,,,26500,21800,26050,
"2019-03-07",,,,,26500,21800,26050,
"2019-03-08",,,,,26500,21800,26050,
"2019-03-11",,,,,26500,21800,26050,
"2019-03-12",,,,,26500,21800,26050,
"2019-03-13",,,,,26500,21800,26050,
"2019-03-14",,,,,26500,21800,26050,
"2019-03-15",,,,,26500,21800,26050,
"2019-03-18",,,,,26500,21800,26050,
"2019-03-19",,,,,26500,21800,26050,
"2019-03-20",,,,,26500,21800,26050,
"2019-03-21",,,,,26500,21800,26500,
"2019-03-22",,,,,26500,21800,26500,
"2019-03-25",,,,,26500,21800,26500,
"2019-03-26",,,,,26500,21800,26500,
"2019-03-27",,,,,26600,21800,26500,
"2019-03-28",,,,,26650,21800,26500,
"2019-03-29",,,,,26650,21800,26500,
"2019-04-01",,,,,26650,21800,26500,
"2019-04-02",,,,,26650,21800,26500,
"2019-04-03",,,,,26700,21800,26550,
"2019-04-04",,,,,26700,21800,26550,
"2019-04-05",,,,,27000,21800,27000,
"2019-04-08",,,,,27600,21800,27000,
"2019-04-09",,,,,27600,21800,27000,
"2019-04-10",,,,,27600,21800,27000,
"2019-04-11",,,,,27600,21800,27000,
"2019-04-12",,,,,27600,21800,27000,
"2019-04-15",,,,,27600,21800,27000,
"2019-04-16",,,,,27600,21800,27000,
"2019-04-17",,,,,27600,21800,27000,
"2019-04-18",,,,,27650,21800,27000,
"2019-04-19",,,,,27900,21800,27000,
"2019-04-22",,,,,27900,21800,27000,
"2019-04-23",,,,,27900,21800,27000,
"2019-04-24",,,,,28000,21800,27000,
"2019-04-25",,,,,28900,21800,27000,
"2019-04-26",,,,,29000,21800,27000,
"2019-04-29",,,,,28100,21800,27000,
"2019-04-30",,,,,28300,21800,27100,
"2019-05-02",,,,,29000,21800,27100,
"2019-05-03",,,,,29000,21800,27100,
"2019-05-07",,,,,29000,21800,27100,
"2019-05-08",,,,,29200,21800,27100,
"2019-05-09",,,,,29300,21800,27100,
"2019-05-10",,,,,29000,21800,28300,
