"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2015-08-03",,,12.7,12.62,10.68,10.2,,12.1,11.68
"2015-08-04",,,12.72,12.63,10.68,10.2,,12.1,11.68
"2015-08-05",,,12.72,12.64,10.68,10.2,,12.1,11.68
"2015-08-06",,,12.72,12.64,10.68,10.2,,12.1,11.68
"2015-08-07",,,12.72,12.64,10.8,10.4,,12.1,11.68
"2015-08-10",,,12.72,12.64,10.8,10.4,,12.1,11.85
"2015-08-11",,,12.72,12.64,10.8,10.4,,12.1,11.85
"2015-08-12",,,12.73,12.65,10.8,10.4,,12.1,11.85
"2015-08-13",,,12.74,12.65,10.8,10.4,,12.1,11.85
"2015-08-14",,,12.74,12.65,10.8,10.4,,12.1,11.85
"2015-08-17",,,12.75,12.65,10.8,10.4,,12.1,11.85
"2015-08-18",12.52,12.3,12.76,12.65,10.85,10.6,,12.1,11.88
"2015-08-19",,,12.75,12.65,10.85,10.6,,12.1,11.88
"2015-08-20",,,12.76,12.66,10.85,10.6,,12.1,11.88
"2015-08-21",,,12.76,12.66,10.85,10.6,,12.1,11.88
"2015-08-24",,,12.76,12.67,10.85,10.6,,12.1,11.88
"2015-08-25",,,12.76,12.69,10.85,10.6,,12.1,11.88
"2015-08-26",,,12.75,12.68,10.85,10.6,,12.1,11.88
"2015-08-27",,,12.75,12.68,10.85,10.6,,12.1,11.88
"2015-08-28",,,12.75,12.68,10.85,10.76,,12.1,11.88
"2015-08-31",,,12.75,12.68,10.9,10.75,,12.1,11.88
"2015-09-01",,,12.74,12.67,10.9,10.75,,12.1,11.88
"2015-09-02",,,12.73,12.64,10.9,10.75,,12.1,11.88
"2015-09-03",,,12.72,12.63,10.9,10.75,,12.1,11.88
"2015-09-04",,,12.71,12.63,10.9,10.75,,12.1,11.88
"2015-09-08",,,12.75,12.66,10.93,10.75,,12.1,11.9
"2015-09-09",,,12.75,12.66,10.93,10.75,,12.1,11.9
"2015-09-10",,,12.75,12.67,10.93,10.75,,12.1,11.9
