"All","Positive","Negative","Date","Net"
17.2718172540133,11.9938406814423,31.7511065413873,2021-01-15,19.757265859945
17.365986361138,11.5804190306691,31.4435621431733,2021-01-22,19.8631431125041
17.1643291025416,11.6519147297725,30.3991821556624,2021-01-29,18.7472674258899
17.9584770526282,11.7300902087109,30.4226046321734,2021-02-05,18.6925144234625
17.5536609013053,11.4540217376644,30.456308714519,2021-02-12,19.0022869768546
17.3225817835842,11.0871476771253,30.3347460509519,2021-02-19,19.2475983738267
18.1125088964814,11.0489138541294,30.7538910807959,2021-02-26,19.7049772266666
17.9480846841244,11.0086559111272,30.785545389861,2021-03-05,19.7768894787338
17.5379804309079,11.047925195751,30.8036666853413,2021-03-12,19.7557414895902
17.3427757193627,10.8832504125292,30.3827844383209,2021-03-19,19.4995340257917
17.3059413204895,10.850100099641,30.1579770045186,2021-03-26,19.3078769048777
17.1988081027184,10.9442428880617,30.1783510174574,2021-04-02,19.2341081293957
17.2688825752,11.2680239819308,30.0860790628657,2021-04-09,18.8180550809349
17.186395958869,11.1240277950133,30.1971577282823,2021-04-16,19.073129933269
17.2217770005748,11.021164781587,30.0949937223581,2021-04-23,19.0738289407711
17.1422822131507,10.9062658445224,30.3893604463617,2021-04-30,19.4830946018393
17.1140356645353,11.0351861013756,30.3958915796596,2021-05-07,19.360705478284
16.9527426250794,10.8204826283447,30.3479740878982,2021-05-14,19.5274914595535
16.790742603469,10.8878307364068,30.0201457670318,2021-05-21,19.1323150306249
16.6116270001894,11.1419949441772,29.4870897882953,2021-05-28,18.3450948441181
16.9271869249429,11.0116884746421,29.6042840052886,2021-06-04,18.5925955306465
17.6894698885913,11.9506623931171,29.5790115637584,2021-06-11,17.6283491706413
17.9746945285331,11.7417500673079,29.7005279966382,2021-06-18,17.9587779293303
18.4176346339862,12.0789423999099,29.7468479264674,2021-06-25,17.6679055265575
18.4172113055597,12.8370822882105,29.8259063210804,2021-07-02,16.9888240328699
18.1716811430942,13.4044997098647,29.7137483677293,2021-07-09,16.3092486578646
18.1741632889058,12.7958414099646,29.7030329031718,2021-07-16,16.9071914932072
17.9970842289003,12.7223105106655,29.6320241460569,2021-07-23,16.9097136353914
17.51847687417,12.9269269831456,29.5925491753147,2021-07-30,16.6656221921691
17.8397264034701,13.186808896872,29.6960948721526,2021-08-06,16.5092859752806
17.9189373152138,13.1725790182131,29.7564556146911,2021-08-13,16.583876596478
18.2524675052117,13.2511531406835,28.9104992985078,2021-08-20,15.6593461578243
19.2684497360605,15.1530706132509,28.9867941807603,2021-08-27,13.8337235675093
19.5608696673161,14.9716784250113,28.9464181666625,2021-09-03,13.9747397416512
19.4333113568926,15.1472642585629,28.8996485081683,2021-09-10,13.7523842496054
19.4932445885527,15.9563788092629,28.8027274685252,2021-09-17,12.8463486592623
19.5314161548333,15.5673677866519,28.9511415386424,2021-09-24,13.3837737519905
19.2248903965968,14.7456562816756,29.0386052260431,2021-10-01,14.2929489443675
18.7266254790338,14.1831757975319,28.8219421124114,2021-10-08,14.6387663148796
18.7097114265955,15.0253754766673,28.8386345198395,2021-10-15,13.8132590431722
19.5321769485969,16.3300491606356,28.9189815783206,2021-10-22,12.588932417685
19.4634125161209,15.9302600577841,29.0625750731304,2021-10-29,13.1323150153463
19.3507221807786,15.8261038120707,29.1630012087714,2021-11-05,13.3368973967007
19.5462534394821,16.2245121925753,29.2513108850382,2021-11-12,13.0267986924628
20.2616961242808,16.0985560771892,29.4413494926948,2021-11-19,13.3427934155056
20.0643294064621,16.0460919558341,28.8951952140607,2021-11-26,12.8491032582266
17.8419391750665,15.9044039760072,28.1037465798314,2021-12-03,12.1993426038242
18.0148017529729,16.4068342685692,28.0810141995948,2021-12-10,11.6741799310256
16.9439831308793,15.2804580624453,27.3726378308708,2021-12-17,12.0921797684255
16.9952055264148,15.2457008199371,27.3776469681269,2021-12-24,12.1319461481898
16.7293223504751,14.4537619395995,27.4300454231081,2021-12-31,12.9762834835086
16.4184332460932,13.8751926495675,27.3335357753535,2022-01-07,13.4583431257859
16.1030187867131,13.4546301776943,27.2786475832772,2022-01-14,13.8240174055829
15.7632176586438,13.2167389189977,26.9545383986731,2022-01-21,13.7377994796754
15.5747000650555,13.1399949785056,26.9482511045348,2022-01-28,13.8082561260292
15.5080500913523,13.2644803970742,26.3978278688478,2022-02-04,13.1333474717736
15.0272574779672,13.1032255328101,25.0445537346604,2022-02-11,11.9413282018503
