"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2018-09-07",-18.0900097271045,46.5987972829258,-20.7180913427989,42.1751709208293,-47.915057698268,29.8440880161171,-31.8948974517009,-40.4078462402013,67.0659335503085,-33.7123303585719,64.8187235212273,-20.9796275332644,-17.7200965582324,-19.0647563812657,-28.7396547140109,78.8874180295679,-49.3402914839374,23.2550128214275,-4.35458201263505,32.9829094017956,-52.6908120422076
"2018-09-14",-20.3719226862427,46.3659827226631,-19.2990976076706,41.2001609556687,-46.8861007921442,26.6845343377395,-27.6935569300137,-40.4424341639178,63.6624744059467,-31.4237328322245,67.305650247053,-21.177934234608,-17.0106628107478,-20.9133606115016,-21.1815967456012,78.3008787637418,-50.1494065131236,17.3858305296558,-5.03852449927523,31.2991381272557,-50.6163196626532
"2018-09-21",-20.0366537335215,35.8304954781739,-28.8767390599555,59.5918158391984,-38.6370473822853,25.7053998085816,-33.5772709501916,-42.3693957810982,67.9582451913794,-30.4298895560283,71.4947735720791,-19.9265337156468,-18.0399927842887,-28.6872069263963,-12.7236981467815,71.2297100130179,-49.6697538507231,19.9463889810243,-7.04976938868674,25.9986528783445,-47.7315304861953
"2018-09-28",-19.3884110026794,34.9159146559258,-29.076168622668,57.8853053733477,-38.5970011483016,26.7834219266989,-32.5230611823235,-41.8533212516047,67.5428938397032,-26.8814659058316,67.2758715915565,-17.5447936939648,-19.5594157872987,-28.97976879256,-15.4065437617574,88.4614140433209,-54.2832418502517,13.0662280746053,-10.7560576949271,23.9974100326754,-45.0792088436655
"2018-10-05",-16.5935243659886,34.8001689797974,-28.7774821881087,52.4693468005854,-37.179604279553,26.5561579674022,-31.2750629141347,-42.8112083925061,76.3839058689959,-27.3655716862634,57.7979314191303,-15.3176549743301,-21.0378909271988,-27.6495113078279,-15.4137606965668,89.9252492230039,-55.8934855866652,12.8338386603445,-11.1134795451062,23.8350794642376,-44.1734415192478
"2018-10-12",-18.6630730028539,35.5627186154032,-28.445757352898,50.919058685418,-37.005582869594,27.0128816555595,-29.3802457310348,-40.5904816367392,77.8854221743918,-26.6928022568539,55.2306661718835,-16.4110189985992,-21.4330103673648,-27.9887750867182,-15.9819911923091,79.7345768192996,-56.6928390797769,14.0390667356893,-9.55965131093729,26.1866522953674,-37.725814267333
"2018-10-19",-17.0851315226917,34.8457948658452,-28.7093838450158,54.9603728117619,-36.1000871935812,26.6400083540841,-34.5515734704025,-34.9570195046207,79.5003485349936,-27.1261044958518,57.0532319176524,-16.0918112864422,-21.1336171363369,-37.2450280293945,-14.2463108631376,82.5338781112891,-56.3183605898883,12.228221913606,-11.5730901348264,25.0973089319643,-37.7216473690071
"2018-10-26",-21.5375778417823,35.1435062315168,-38.2313196538909,60.184667943048,-35.1280401439276,30.3324636828135,-30.7637002177776,-35.4850584606969,72.3031905243632,-31.3249629429936,65.7917325444154,-17.1383395901981,-20.162895272544,-33.983666802346,-7.98741357074278,78.9102211346715,-57.7517676210068,12.2933463298367,-14.5829735603441,25.6589670366362,-36.5403797490507
"2018-11-02",-19.6452804353185,33.9383512180965,-40.524164581088,59.9625177639137,-31.4657300052656,28.5541986654111,-30.8198926257492,-30.8039790762635,75.404541555115,-31.9411678922103,61.6429609229101,-15.7888824093437,-23.9879119397486,-34.525561160459,-1.25661192131203,75.8762511679464,-56.1782916329194,11.6389545848849,-17.1956672535311,24.4826623456077,-37.3672972906764
"2018-11-09",-19.4090743157969,36.3954633543891,-42.4378240496188,58.2878693722261,-31.2469500465789,27.209968410973,-28.7994527255936,-34.6717450819101,71.9923106649731,-28.0612819950069,57.0195000587881,-15.3537992639003,-22.1927482346102,-28.7322361483337,-5.24131878134007,82.1004835631517,-58.422194984552,11.0002705272773,-17.5654037486274,25.1209285762373,-36.9927651521469
