"Date","All_H5","All_H10","All_H15","All_H20"
2019-05-24,6.53392882808827,6.53569800139788,6.53569828427024,6.53569828431438
2019-05-31,6.49358232976511,6.49408854552961,6.49408856131147,6.49408856131199
2019-06-07,6.26435572822241,6.26470242774344,6.26470244157646,6.26470244157702
2019-06-14,6.56671289140567,6.56721273183006,6.56721275855502,6.56721275855651
2019-06-21,7.7772103325665,7.77914539858212,7.77914564144901,7.77914564148015
2019-06-28,7.32025757943414,7.32130372458692,7.32130380161606,7.32130380162185
2019-07-05,7.26249827495957,7.26325777742727,7.26325781458069,7.26325781458255
2019-07-12,7.31365655122623,7.31514372261696,7.31514390677538,7.31514390679854
2019-07-19,7.17195675014176,7.17255480282613,7.17255482757273,7.17255482757378
2019-07-26,7.09207840612852,7.09268760159674,7.0926876268374,7.09268762683848
2019-08-02,7.10396544454506,7.10459122155497,7.10459124744411,7.1045912474452
2019-08-09,6.97990325087751,6.98049307590261,6.98049310026601,6.98049310026705
2019-08-16,6.29928227903309,6.2999804467773,6.29998049305379,6.29998049305689
2019-08-23,6.28736532756406,6.28804897318931,6.28804901734684,6.28804901734972
2019-08-30,6.27343966217161,6.27411054138533,6.2741105824436,6.27411058244614
2019-09-06,6.44219532578837,6.4428868646937,6.44288691257083,6.44288691257418
2019-09-13,6.04922740983203,6.04988715244885,6.04988719574544,6.04988719574831
2019-09-20,6.11436881444733,6.11499271718799,6.11499275943026,6.11499275943314
2019-09-27,5.89812079189426,5.89873983571382,5.89873987858839,5.89873987859139
2019-10-04,5.94926877631734,5.94986109960308,5.94986113746082,5.94986113746326
2019-10-11,5.99651135397711,5.99706300988668,5.99706304026608,5.99706304026777
2019-10-18,6.00041743969559,6.00089999831187,6.00090001964687,6.00090001964782
2019-10-25,5.99545881482916,5.99591698229385,5.99591700170226,5.99591700170309
2019-11-01,6.03635122386351,6.03675490895694,6.03675492231492,6.03675492231536
2019-11-08,6.38420477400813,6.38466743856762,6.38466745673124,6.38466745673196
2019-11-15,6.41966936367198,6.41999443843976,6.41999444757033,6.41999444757059
2019-11-22,6.49029004576381,6.49062301867927,6.49062302804421,6.49062302804447
2019-11-29,6.22072405753139,6.22105193425695,6.22105194372853,6.22105194372881
2019-12-06,6.29021323743126,6.29054685604031,6.29054686541681,6.29054686541707
2019-12-13,6.12597741785338,6.12626172726709,6.12626173513129,6.1262617351315
2019-12-20,7.04877582947965,7.04909264740903,7.04909265268471,7.0490926526848
2019-12-27,7.75421456420954,7.75454654955663,7.75454655525642,7.75454655525652
2020-01-03,7.57874308679945,7.57886291389447,7.57886291430133,7.57886291430133
2020-01-10,7.6102137196665,7.61031882737587,7.61031882795555,7.61031882795555
2020-01-17,7.60175882045695,7.60187070279819,7.60187070337085,7.60187070337085
2020-01-24,7.57905019214552,7.57915865145785,7.57915865203817,7.57915865203818
2020-01-31,8.11034228955616,8.11053028368888,8.11053028614703,8.11053028614706
2020-02-07,6.49686145491339,6.49695183432353,6.49695183471191,6.49695183471191
2020-02-14,6.33432365415655,6.3343807969967,6.33438079714193,6.33438079714193
2020-02-21,6.10141552011105,6.10145649422084,6.10145649429472,6.10145649429472
2020-02-28,6.57030943875793,6.57034606694171,6.57034606700161,6.57034606700161
2020-03-06,7.40468893858023,7.40470300027047,7.40470300027161,7.40470300027161
2020-03-13,9.12302336434822,9.12307855115658,9.12307855121151,9.12307855121151
2020-03-20,19.2214233476785,19.2228933728787,19.2228934043809,19.2228934043837
2020-03-27,15.2077491165692,15.2091890981442,15.2091976191409,15.2091976704653
2020-04-03,15.4451288797377,15.465910297121,15.4664363357605,15.4664494450316
2020-04-10,14.8809953545649,14.8833148040363,14.8833236080094,14.8833236420281
2020-04-17,14.8753296320192,14.877635662813,14.8776444010952,14.8776444348137
2020-04-24,14.7723769315785,14.7746495758209,14.7746581882084,14.7746582214505
2020-05-01,14.753915156795,14.7564093417002,14.7564180170903,14.7564180476906
2020-05-08,14.6413847189409,14.6442256984352,14.6442353084125,14.6442353413159
2020-05-15,15.0170548017267,15.0195299227297,15.0195382173968,15.0195382454844
2020-05-22,15.0171718724751,15.0210348910122,15.021048310238,15.0210483541876
2020-05-29,15.0578075261102,15.0635508726723,15.0635699186297,15.0635699750717
2020-06-05,14.2785959412936,14.2825676071098,14.2825797640303,14.2825797996169
2020-06-12,12.87552979742,12.8760491914707,12.8760503741117,12.8760503766331
2020-06-19,12.8028602815068,12.8034192343499,12.8034204977644,12.8034205004713
2020-06-26,12.8115055203724,12.812049326845,12.8120504910444,12.8120504935018
2020-07-03,12.7474901937439,12.7478862270697,12.7478870120275,12.7478870135759
2020-07-10,12.9020085442526,12.9044738393498,12.9044791285154,12.9044791376623
2020-07-17,12.8402325489819,12.8415373787405,12.8415397177107,12.8415397219556
2020-07-24,12.8654878275547,12.866657723021,12.8666598375266,12.8666598413948
2020-07-31,12.7429085612857,12.7440484687665,12.7440505007098,12.7440505043708
2020-08-07,12.6859385035659,12.6870475035873,12.6870494423127,12.6870494457325
