"Date","Net_H5","Net_H10","Net_H15","Net_H20"
2019-05-24,8.48443992866005,8.5220260703243,8.52213211165227,8.52213238291505
2019-05-31,7.65908789324987,7.69200055014991,7.69208215262399,7.69208234040037
2019-06-07,7.85029077623847,7.88179949266125,7.88187711618612,7.88187729562904
2019-06-14,7.90397678528521,7.93799008120585,7.93806771468615,7.93806792227242
2019-06-21,7.59854888294757,7.62034288714924,7.62036139913732,7.62036143325964
2019-06-28,7.64401405703005,7.66362743687264,7.66364945583328,7.66364948797609
2019-07-05,7.89459803016329,7.91497224461941,7.91499789381114,7.91499793468875
2019-07-12,7.32497072789354,7.34371863819286,7.34373985132123,7.34373988646495
2019-07-19,7.50507397964435,7.52602557857933,7.5260530411611,7.5260530805896
2019-07-26,7.83332172939956,7.86107978047071,7.86112428139425,7.86112435865409
