"Date","Net_W100","Net_W150","Net_W200","Net_W250"
2018-09-21,3.98146290397139,3.98146290397139,3.98146290397139,3.98146290397139
2018-09-28,3.57816712567281,3.57816712567281,3.57816712567281,3.57816712567281
2018-10-05,3.47452193744079,3.47452193744079,3.47452193744079,3.47452193744079
2018-10-12,3.32535825668788,3.32535825668788,3.32535825668788,3.32535825668788
2018-10-19,3.82781230584867,3.82781230584867,3.82781230584867,3.82781230584867
2018-10-26,3.97927808867282,3.97927808867282,3.97927808867282,3.97927808867282
2018-11-02,4.0333925841156,4.0333925841156,4.0333925841156,4.0333925841156
2018-11-09,3.76111999932451,3.76111999932451,3.76111999932451,3.76111999932451
2018-11-16,2.7481209115739,2.7481209115739,2.7481209115739,2.7481209115739
2018-11-23,2.85057657396037,2.85057657396037,2.85057657396037,2.85057657396037
2018-11-30,3.11664018592925,3.11664018592925,3.11664018592925,3.11664018592925
2018-12-07,3.34049391949562,3.34049391949562,3.34049391949562,3.34049391949562
2018-12-14,2.8275514931447,2.8275514931447,2.8275514931447,2.8275514931447
2018-12-21,2.09362212841929,2.09362212841929,2.09362212841929,2.09362212841929
2018-12-28,3.27922042259807,3.27922042259807,3.27922042259807,3.27922042259807
2019-01-04,3.33061720347672,3.33061720347672,3.33061720347672,3.33061720347672
2019-01-11,3.60960936059666,3.60960936059666,3.60960936059666,3.60960936059666
2019-01-18,3.57608465229237,3.57608465229237,3.57608465229237,3.57608465229237
2019-01-25,3.70419033626373,3.70419033626373,3.70419033626373,3.70419033626373
2019-02-01,3.68607929748466,3.68607929748466,3.68607929748466,3.68607929748466
2019-02-08,3.57675815223746,3.57675815223746,3.57675815223746,3.57675815223746
2019-02-15,4.44587764214196,4.44587764214196,4.44587764214196,4.44587764214196
2019-02-22,4.70233235595418,4.70233235595418,4.70233235595418,4.70233235595418
2019-03-01,3.80378669049811,3.80378669049811,3.80378669049811,3.80378669049811
2019-03-08,4.23532754251297,4.23532754251297,4.23532754251297,4.23532754251297
2019-03-15,4.32091697245868,4.32091697245868,4.32091697245868,4.32091697245868
2019-03-22,4.8272345256688,4.8272345256688,4.8272345256688,4.8272345256688
2019-03-29,5.3181418731234,5.3181418731234,5.3181418731234,5.3181418731234
2019-04-05,5.17967450162783,5.17967450162783,5.17967450162783,5.17967450162783
2019-04-12,5.83973534187079,5.83973534187079,5.83973534187079,5.83973534187079
2019-04-19,6.24272714369755,6.24272714369755,6.24272714369755,6.24272714369755
2019-04-26,6.39638031539949,6.39638031539949,6.39638031539949,6.39638031539949
2019-05-03,7.53543820781836,7.53543820781836,7.53543820781836,7.53543820781836
2019-05-10,7.35325085482105,7.35325085482105,7.35325085482105,7.35325085482105
2019-05-17,7.74895224289773,7.74895224289773,7.74895224289773,7.74895224289773
2019-05-24,8.5220260703243,8.5220260703243,8.5220260703243,8.5220260703243
2019-05-31,7.69200055014991,7.69200055014991,7.69200055014991,7.69200055014991
2019-06-07,7.88179949266125,7.88179949266125,7.88179949266125,7.88179949266125
2019-06-14,7.93799008120585,7.93799008120585,7.93799008120585,7.93799008120585
2019-06-21,7.62034288714924,7.62034288714924,7.62034288714924,7.62034288714924
2019-06-28,7.66362743687264,7.66362743687264,7.66362743687264,7.66362743687264
2019-07-05,7.91497224461941,7.91497224461941,7.91497224461941,7.91497224461941
2019-07-12,7.34371863819286,7.34371863819286,7.34371863819286,7.34371863819286
2019-07-19,7.52602557857933,7.52602557857933,7.52602557857933,7.52602557857933
2019-07-26,7.86107978047071,7.86107978047071,7.86107978047071,7.86107978047071
2019-08-02,8.10778211376833,8.10778211376833,8.10778211376833,8.10778211376833
2019-08-09,7.34472074826638,7.34472074826638,7.34472074826638,7.34472074826638
2019-08-16,7.99650959422611,7.99650959422611,7.99650959422611,7.99650959422611
2019-08-23,7.83574294981881,7.83574294981881,7.83574294981881,7.83574294981881
2019-08-30,8.6013271907596,8.6013271907596,8.6013271907596,8.6013271907596
2019-09-06,8.96062004137832,8.96062004137832,8.96062004137832,8.96062004137832
2019-09-13,8.52246640178944,8.52246640178944,8.52246640178944,8.52246640178944
2019-09-20,8.16692196687806,8.16692196687806,8.16692196687806,8.16692196687806
2019-09-27,9.34644344295499,9.34644344295499,9.34644344295499,9.34644344295499
2019-10-04,9.45491051291857,9.45491051291857,9.45491051291857,9.45491051291857
2019-10-11,8.81299000990194,8.81299000990194,8.81299000990194,8.81299000990194
2019-10-18,8.71305671515868,8.71305671515868,8.71305671515868,8.71305671515868
2019-10-25,8.9382200542832,8.9382200542832,8.9382200542832,8.9382200542832
2019-11-01,9.13479966929168,9.13479966929168,9.13479966929168,9.13479966929168
2019-11-08,10.0990446432789,10.0990446432789,10.0990446432789,10.0990446432789
2019-11-15,10.9252298516246,10.9252298516246,10.9252298516246,10.9252298516246
2019-11-22,11.1071968252177,11.1071968252177,11.1071968252177,11.1071968252177
2019-11-29,11.0909926116454,11.0909926116454,11.0909926116454,11.0909926116454
2019-12-06,11.2861838403593,11.2861838403593,11.2861838403593,11.2861838403593
2019-12-13,11.5852205885325,11.5852205885325,11.5852205885325,11.5852205885325
2019-12-20,10.5381157008543,10.5381157008543,10.5381157008543,10.5381157008543
2019-12-27,11.241997523653,11.241997523653,11.241997523653,11.241997523653
2020-01-03,10.0573001833561,10.0573001833561,10.0573001833561,10.0573001833561
2020-01-10,10.4561745568173,10.4561745568173,10.4561745568173,10.4561745568173
2020-01-17,10.9838680787383,10.9838680787383,10.9838680787383,10.9838680787383
2020-01-24,11.0832562292823,11.0832562292823,11.0832562292823,11.0832562292823
2020-01-31,10.1655050639966,10.1655050639966,10.1655050639966,10.1655050639966
2020-02-07,6.70427746734331,6.70427746734331,6.70427746734331,6.70427746734331
2020-02-14,6.3357949789346,6.3357949789346,6.3357949789346,6.3357949789346
2020-02-21,6.37037728542004,6.37037728542004,6.37037728542004,6.37037728542004
2020-02-28,6.19910086640842,6.19910086640842,6.19910086640842,6.19910086640842
2020-03-06,6.55425650833669,6.55425650833669,6.55425650833669,6.55425650833669
2020-03-13,8.08571502543068,8.08571502543068,8.08571502543068,8.08571502543068
2020-03-20,24.8799876443646,24.8799876443646,24.8799876443646,24.8799876443646
2020-03-27,21.5536461824958,21.5536461824958,21.5536461824958,21.5536461824958
2020-04-03,19.1657923831776,19.1657923831776,19.1657923831776,19.1657923831776
2020-04-10,19.2524068049337,19.2524068049337,19.2524068049337,19.2524068049337
2020-04-17,19.1735122088534,19.1735122088534,19.1735122088534,19.1735122088534
2020-04-24,19.0754943940299,19.0754943940299,19.0754943940299,19.0754943940299
2020-05-01,18.8332049769326,18.8332049769326,18.8332049769326,18.8332049769326
2020-05-08,18.9345131403228,18.9345131403228,18.9345131403228,18.9345131403228
2020-05-15,18.5849741064947,18.5849741064947,18.5849741064947,18.5849741064947
2020-05-22,18.363919706301,18.363919706301,18.363919706301,18.363919706301
2020-05-29,18.4878379477638,18.4878379477638,18.4878379477638,18.4878379477638
2020-06-05,17.930760744967,17.930760744967,17.930760744967,17.930760744967
2020-06-12,18.9073285442142,18.9073285442142,18.9073285442142,18.9073285442142
2020-06-19,19.4739006627691,19.4739006627691,19.4739006627691,19.4739006627691
2020-06-26,19.4907883189545,19.4907883189545,19.4907883189545,19.4907883189545
2020-07-03,19.5139224777477,19.5139224777477,19.5139224777477,19.5139224777477
2020-07-10,19.2469420520598,19.2469420520598,19.2469420520598,19.2469420520598
2020-07-17,18.8411772371765,18.8411772371765,18.8411772371765,18.8411772371765
2020-07-24,18.6271761750314,18.6271761750314,18.6271761750314,18.6271761750314
2020-07-31,18.5282730325676,18.5282730325676,18.5282730325676,18.5282730325676
2020-08-07,18.2103247649303,18.2103247649303,18.2103247649303,18.2103247649303
2020-08-14,17.9478589732609,17.9478589732609,17.9478589732609,17.9478589732609
2020-08-21,18.0012859655278,18.0012859655278,18.0012859655278,18.0012859655278
2020-08-28,17.6409959333521,17.6409959333521,17.6409959333521,17.6409959333521
2020-09-04,17.2855411704585,17.2855411704585,17.2855411704585,17.2855411704585
2020-09-11,17.2707414651302,17.2707414651302,17.2707414651302,17.2707414651302
2020-09-18,17.4261237980587,17.4261237980587,17.4261237980587,17.4261237980587
2020-09-25,17.3853431039002,17.3853431039002,17.3853431039002,17.3853431039002
2020-10-02,17.3210944889123,17.3210944889123,17.3210944889123,17.3210944889123
2020-10-09,17.0673085666183,17.0673085666183,17.0673085666183,17.0673085666183
2020-10-16,16.8922568062059,16.8922568062059,16.8922568062059,16.8922568062059
2020-10-23,16.8296727228889,16.8296727228889,16.8296727228889,16.8296727228889
2020-10-30,16.6328798572648,16.6328798572648,16.6328798572648,16.6328798572648
2020-11-06,16.725743217982,16.725743217982,16.725743217982,16.725743217982
2020-11-13,16.6997121159762,16.6997121159762,16.6997121159762,16.6997121159762
2020-11-20,16.6503978436663,16.6503978436663,16.6503978436663,16.6503978436663
2020-11-27,16.5793784499024,16.5793784499024,16.5793784499024,16.5793784499024
2020-12-04,16.4808183137377,16.4808183137377,16.4808183137377,16.4808183137377
2020-12-11,16.6767691798628,16.6767691798628,16.6767691798628,16.6767691798628
2020-12-18,16.7273654964445,16.7273654964445,16.7273654964445,16.7273654964445
2020-12-25,16.7959478132164,16.7959478132164,16.7959478132164,16.7959478132164
2021-01-01,16.818476237698,16.818476237698,16.818476237698,16.818476237698
2021-01-08,16.8798863993058,16.8798863993058,16.8798863993058,16.8798863993058
2021-01-15,16.4182179200852,16.4182179200852,16.4182179200852,16.4182179200852
2021-01-22,16.3524213433211,16.3524213433211,16.3524213433211,16.3524213433211
2021-01-29,16.2262784541128,16.2262784541128,16.2262784541128,16.2262784541128
2021-02-05,16.3768766152098,16.3768766152098,16.3768766152098,16.3768766152098
2021-02-12,16.5447206738119,16.5447206738119,16.5447206738119,16.5447206738119
2021-02-19,16.8121590898505,16.8121590898505,16.8121590898505,16.8121590898505
2021-02-26,17.0605059912564,17.0605059912564,17.0605059912564,17.0605059912564
2021-03-05,17.211503172641,17.211503172641,17.211503172641,17.211503172641
2021-03-12,17.4937478771173,17.4937478771173,17.4937478771173,17.4937478771173
2021-03-19,17.3233470558546,17.3233470558546,17.3233470558546,17.3233470558546
2021-03-26,17.0238677822817,17.0238677822817,17.0238677822817,17.0238677822817
2021-04-02,17.002695144068,17.002695144068,17.002695144068,17.002695144068
2021-04-09,16.7455770075975,16.7455770075975,16.7455770075975,16.7455770075975
2021-04-16,17.1639750439678,17.1639750439678,17.1639750439678,17.1639750439678
2021-04-23,17.0895245741105,17.0895245741105,17.0895245741105,17.0895245741105
2021-04-30,17.3550192994394,17.3550192994394,17.3550192994394,17.3550192994394
2021-05-07,17.2872287050852,17.2872287050852,17.2872287050852,17.2872287050852
2021-05-14,17.5361888972548,17.5361888972548,17.5361888972548,17.5361888972548
2021-05-21,17.0902284515666,17.0902284515666,17.0902284515666,17.0902284515666
2021-05-28,16.8726219394548,16.8726219394548,16.8726219394548,16.8726219394548
2021-06-04,17.1010065373651,17.1010065373651,17.1010065373651,17.1010065373651
2021-06-11,16.539082337992,16.539082337992,16.539082337992,16.539082337992
2021-06-18,16.6283890505345,16.6283890505345,16.6283890505345,16.6283890505345
2021-06-25,15.9480135479419,15.9480135479419,15.9480135479419,15.9480135479419
2021-07-02,14.8322839163337,14.8322839163337,14.8322839163337,14.8322839163337
2021-07-09,14.2675328990479,14.2675328990479,14.2675328990479,14.2675328990479
2021-07-16,14.9285894370637,14.9285894370637,14.9285894370637,14.9285894370637
2021-07-23,14.9199566166412,14.9199566166412,14.9199566166412,14.9199566166412
2021-07-30,14.7494683301718,14.7494683301718,14.7494683301718,14.7494683301718
2021-08-06,14.5643654431007,14.5643654431007,14.5643654431007,14.5643654431007
2021-08-13,14.8013583061799,14.8013583061799,14.8013583061799,14.8013583061799
2021-08-20,14.3048214738275,14.3048214738275,14.3048214738275,14.3048214738275
2021-08-27,13.1285393802742,13.1285393802742,13.1285393802742,13.1285393802742
2021-09-03,12.2534530342554,12.2534530342554,12.2534530342554,12.2534530342554
2021-09-10,12.0721693343236,12.0721693343236,12.0721693343236,12.0721693343236
2021-09-17,11.4312541960145,11.4312541960145,11.4312541960145,11.4312541960145
2021-09-24,11.8296914000844,11.8296914000844,11.8296914000844,11.8296914000844
2021-10-01,11.4286392233255,11.4286392233255,11.4286392233255,11.4286392233255
2021-10-08,11.8307676103699,11.8307676103699,11.8307676103699,11.8307676103699
2021-10-15,11.8741461144923,11.8741461144923,11.8741461144923,11.8741461144923
2021-10-22,11.4292403363393,11.4292403363393,11.4292403363393,11.4292403363393
2021-10-29,11.9855907846524,11.9855907846524,11.9855907846524,11.9855907846524
2021-11-05,12.1761919103387,12.1761919103387,12.1761919103387,12.1761919103387
2021-11-12,12.2919518668325,12.2919518668325,12.2919518668325,12.2919518668325
2021-11-19,12.9948413844151,12.9948413844151,12.9948413844151,12.9948413844151
2021-11-26,11.7494701919728,11.7494701919728,11.7494701919728,11.7494701919728
2021-12-03,10.8813089983517,10.8813089983517,10.8813089983517,10.8813089983517
2021-12-10,9.44554498520124,9.44554498520124,9.44554498520124,9.44554498520124
2021-12-17,10.0165520264173,10.0165520264173,10.0165520264173,10.0165520264173
2021-12-24,10.157074874802,10.157074874802,10.157074874802,10.157074874802
2021-12-31,10.7839741385429,10.7839741385429,10.7839741385429,10.7839741385429
2022-01-07,11.0660825900294,11.0660825900294,11.0660825900294,11.0660825900294
2022-01-14,11.4619840547053,11.4619840547053,11.4619840547053,11.4619840547053
2022-01-21,11.3139097567963,11.3139097567963,11.3139097567963,11.3139097567963
2022-01-28,11.4033411029488,11.4033411029488,11.4033411029488,11.4033411029488
2022-02-04,10.6903302845035,10.6903302845035,10.6903302845035,10.6903302845035
2022-02-11,9.12026147496366,9.12026147496366,9.12026147496366,9.12026147496366
2022-02-18,8.42415833478213,8.42415833478213,8.42415833478213,8.42415833478213
2022-02-25,8.42560694526679,8.42560694526679,8.42560694526679,8.42560694526679
2022-03-04,18.9251399503893,18.9251399503893,18.9251399503893,18.9251399503893
2022-03-11,17.1747631732891,17.1747631732891,17.1747631732891,17.1747631732891
2022-03-18,17.407875097409,17.407875097409,17.407875097409,17.407875097409
2022-03-25,17.6723871045013,17.6723871045013,17.6723871045013,17.6723871045013
2022-04-01,18.0738865649481,18.0738865649481,18.0738865649481,18.0738865649481
2022-04-08,18.4266472496044,18.4266472496044,18.4266472496044,18.4266472496044
2022-04-15,18.4781795204584,18.4781795204584,18.4781795204584,18.4781795204584
2022-04-22,18.2279888756265,18.2279888756265,18.2279888756265,18.2279888756265
2022-04-29,18.1400929836686,18.1400929836686,18.1400929836686,18.1400929836686
2022-05-06,17.7342412827052,17.7342412827052,17.7342412827052,17.7342412827052
2022-05-13,17.640050488518,17.640050488518,17.640050488518,17.640050488518
2022-05-20,17.1838842822959,17.1838842822959,17.1838842822959,17.1838842822959
2022-05-27,17.7390869773168,17.7390869773168,17.7390869773168,17.7390869773168
2022-06-03,17.8658907559986,17.8658907559986,17.8658907559986,17.8658907559986
2022-06-10,16.9183927277907,16.9183927277907,16.9183927277907,16.9183927277907
2022-06-17,16.7622164828719,16.7622164828719,16.7622164828719,16.7622164828719
2022-06-24,16.4714743309363,16.4714743309363,16.4714743309363,16.4714743309363
2022-07-01,16.2354089361275,16.2354089361275,16.2354089361275,16.2354089361275
2022-07-08,16.5540271618705,16.5540271618705,16.5540271618705,16.5540271618705
2022-07-15,15.9380215735774,15.9380215735774,15.9380215735774,15.9380215735774
2022-07-22,14.4806258538623,14.4806258538623,14.4806258538623,14.4806258538623
2022-07-29,14.2609923226744,14.2609923226744,14.2609923226744,14.2609923226744
2022-08-05,14.5083834985771,14.5083834985771,14.5083834985771,14.5083834985771
2022-08-12,14.5966408836712,14.5966408836712,14.5966408836712,14.5966408836712
2022-08-19,14.5621379936358,14.5621379936358,14.5621379936358,14.5621379936358
2022-08-26,14.3206183868317,14.3206183868317,14.3206183868317,14.3206183868317
2022-09-02,13.6459231193285,13.6459231193285,13.6459231193285,13.6459231193285
2022-09-09,13.1970859222961,13.1970859222961,13.1970859222961,13.1970859222961
