"","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"357",NA,NA,26.06,NA,NA,NA,NA,NA
"358",NA,NA,26.11,NA,NA,NA,NA,NA
"359",NA,NA,26.38,NA,NA,NA,NA,NA
"360",NA,NA,26.34,NA,NA,NA,NA,NA
"361",NA,NA,26.19,NA,NA,NA,NA,NA
"362",NA,NA,26.59,NA,NA,NA,NA,NA
"363",NA,NA,26.1,NA,NA,NA,NA,NA
"364",NA,NA,26.34,NA,NA,NA,NA,NA
"365",NA,NA,27.13,NA,NA,NA,NA,NA
"366",NA,NA,26.6,NA,NA,NA,NA,NA
"367",NA,NA,26.44,NA,NA,NA,NA,NA
"368",NA,NA,27.54,NA,NA,NA,NA,NA
"369",NA,NA,27.49,NA,NA,NA,NA,NA
"370",NA,NA,27.2,NA,NA,NA,NA,NA
"371",NA,NA,27.32,NA,NA,NA,NA,NA
"372",NA,NA,27.16,NA,NA,NA,NA,NA
"373",NA,NA,27,NA,NA,NA,NA,NA
"374",NA,NA,27.13,NA,NA,NA,NA,NA
"375",NA,NA,27.24,NA,NA,NA,NA,NA
"376",NA,NA,27.5,NA,NA,NA,NA,NA
"377",NA,NA,27.64,NA,NA,NA,NA,NA
"378",NA,NA,27.41,NA,NA,NA,NA,NA
"379",NA,NA,27.77,NA,NA,NA,NA,NA
"380",NA,NA,27.78,NA,NA,NA,NA,NA
"381",NA,NA,27.59,NA,NA,NA,NA,NA
"382",NA,NA,27.88,NA,NA,NA,NA,NA
"383",NA,NA,28.34,NA,NA,NA,NA,NA
"384",NA,NA,28.77,NA,NA,NA,NA,NA
"385",NA,NA,29.33,NA,NA,NA,NA,NA
"386",NA,NA,27.99,NA,NA,NA,NA,NA
"387",NA,NA,27.45,NA,NA,NA,NA,NA
"388",NA,NA,27.64,NA,NA,NA,NA,NA
"389",NA,NA,27.51,NA,NA,NA,NA,NA
"390",NA,NA,25.79,NA,NA,NA,NA,NA
"391",NA,NA,26.02,NA,NA,NA,NA,NA
"392",NA,NA,26.68,NA,NA,NA,NA,NA
"393",NA,NA,27.45,NA,NA,NA,NA,NA
"394",NA,NA,27.26,NA,NA,NA,NA,NA
"395",NA,NA,26.32,NA,NA,NA,NA,NA
"396",NA,NA,25.03,NA,NA,NA,NA,NA
"397",NA,NA,25.76,NA,NA,NA,NA,NA
"398",NA,NA,24.5,NA,NA,NA,NA,NA
"399",NA,NA,24.49,NA,NA,NA,NA,NA
"400",NA,NA,24.67,NA,NA,NA,NA,NA
"401",NA,NA,24.74,NA,NA,NA,NA,NA
"402",NA,NA,25.14,NA,NA,NA,NA,NA
"403",NA,NA,24.94,NA,NA,NA,NA,NA
"404",NA,NA,24.41,NA,NA,NA,NA,NA
"405",NA,NA,23.63,NA,NA,NA,NA,NA
"406",NA,NA,22.7,NA,NA,NA,NA,NA
"407",NA,NA,22.06,NA,NA,NA,NA,NA
"408",NA,NA,21.38,NA,NA,NA,NA,NA
"409",NA,NA,21.21,NA,NA,NA,NA,NA
"410",NA,NA,21.67,NA,NA,NA,NA,NA
"411",NA,NA,22.26,NA,NA,NA,NA,NA
"412",NA,NA,22.82,NA,NA,NA,NA,NA
"413",NA,NA,22.61,NA,NA,NA,NA,NA
"414",NA,NA,22.65,NA,NA,NA,NA,NA
"415",NA,NA,23.31,NA,NA,NA,NA,NA
"416",NA,NA,23.67,NA,NA,NA,NA,NA
"417",NA,NA,23.43,NA,NA,NA,NA,NA
"418",NA,NA,23.19,NA,NA,NA,NA,NA
"419",NA,NA,23.59,NA,NA,NA,NA,NA
"420",NA,NA,23.73,NA,NA,NA,NA,NA
"421",NA,NA,24.42,NA,NA,NA,NA,NA
"422",NA,NA,24.72,NA,NA,NA,NA,NA
"423",NA,NA,24.58,NA,NA,NA,NA,NA
"424",NA,NA,24.37,NA,NA,NA,NA,NA
"425",NA,NA,24.72,NA,NA,NA,NA,NA
"426",NA,NA,25.14,NA,NA,NA,NA,NA
"427",NA,NA,25.17,NA,NA,NA,NA,NA
"428",NA,NA,25.19,NA,NA,NA,NA,NA
"429",NA,NA,24.96,NA,NA,NA,NA,NA
"430",NA,NA,24.72,NA,NA,NA,NA,NA
"431",NA,NA,24.45,NA,NA,NA,NA,NA
"432",NA,NA,24.65,NA,NA,NA,NA,NA
"433",NA,NA,24.4,NA,NA,NA,NA,NA
"434",NA,NA,24.19,NA,NA,NA,NA,NA
"435",NA,NA,22.86,NA,NA,NA,NA,NA
"436",NA,NA,22.77,NA,NA,NA,NA,NA
"437",NA,NA,23.07,NA,NA,NA,NA,NA
"438",NA,NA,23.9,NA,NA,NA,NA,NA
"439",NA,NA,23.03,NA,NA,NA,NA,NA
"440",NA,NA,22.91,NA,NA,NA,NA,NA
"441",NA,NA,23.25,NA,NA,NA,NA,NA
"442",NA,NA,23.78,NA,NA,NA,NA,NA
"443",NA,NA,24.68,NA,NA,NA,NA,NA
"444",NA,NA,24.85,NA,NA,NA,NA,NA
"445",NA,NA,25.06,NA,NA,NA,NA,NA
"446",NA,NA,24.65,NA,NA,NA,NA,NA
"447",NA,NA,24.67,NA,NA,NA,NA,NA
"448",NA,NA,24.45,NA,NA,NA,NA,NA
"449",NA,NA,23.19,NA,NA,NA,NA,NA
"450",NA,NA,22.35,NA,NA,NA,NA,NA
"451",NA,NA,22.83,NA,NA,NA,NA,NA
"452",NA,NA,23.14,NA,NA,NA,NA,NA
"453",NA,NA,23.07,NA,NA,NA,NA,NA
"454",NA,NA,22.08,NA,NA,NA,NA,NA
"455",NA,NA,22.25,NA,NA,NA,NA,NA
"456",NA,NA,21.81,NA,NA,NA,NA,NA
"457",NA,NA,22.5,NA,NA,NA,NA,NA
"458",NA,NA,22.04,NA,NA,NA,NA,NA
"459",NA,NA,22.84,NA,NA,NA,NA,NA
"460",NA,NA,23.29,NA,NA,NA,NA,NA
"461",NA,NA,22.82,NA,NA,NA,NA,NA
"462",NA,NA,21.91,NA,NA,NA,NA,NA
"463",NA,NA,21.68,NA,NA,NA,NA,NA
"464",NA,NA,21.8,NA,NA,NA,NA,NA
"465",NA,NA,21.25,NA,NA,NA,NA,NA
"466",NA,NA,19.9,NA,NA,NA,NA,NA
"467",NA,NA,20.19,NA,NA,NA,NA,NA
"468",NA,NA,19.14,NA,NA,NA,NA,NA
"469",NA,NA,17.87,NA,NA,NA,NA,NA
"470",NA,NA,17.63,NA,NA,NA,NA,NA
"471",NA,NA,18.45,NA,NA,NA,NA,NA
"472",NA,NA,18.12,NA,NA,NA,NA,NA
"473",NA,NA,17.94,NA,NA,NA,NA,NA
"474",NA,NA,18.25,NA,NA,NA,NA,NA
"475",NA,NA,18.94,NA,NA,NA,NA,NA
"476",NA,NA,18.54,NA,NA,NA,NA,NA
"477",NA,NA,18.2,NA,NA,NA,NA,NA
"478",NA,NA,18.69,NA,NA,NA,NA,NA
"479",NA,NA,18.51,NA,NA,NA,NA,NA
"480",NA,NA,17.94,NA,NA,NA,NA,NA
"481",NA,NA,17.95,NA,NA,NA,NA,NA
"482",NA,NA,17.95,NA,NA,NA,NA,NA
"483",NA,NA,17.43,NA,NA,NA,NA,NA
"484",NA,NA,17.03,NA,NA,NA,NA,NA
"485",NA,NA,16.55,NA,NA,NA,NA,NA
"486",NA,NA,16.33,NA,NA,NA,NA,NA
"487",NA,NA,14.92,NA,NA,NA,NA,NA
"488",NA,NA,15.03,NA,NA,NA,NA,NA
"489",NA,NA,15.86,NA,NA,NA,NA,NA
"490",NA,NA,15.76,NA,NA,NA,NA,NA
"491",NA,NA,15.63,NA,NA,NA,NA,NA
"492",NA,NA,16.31,NA,NA,NA,NA,NA
"493",NA,NA,15.52,NA,NA,NA,NA,NA
"494",NA,NA,15.53,NA,NA,NA,NA,NA
"495",NA,NA,15.36,NA,NA,NA,NA,NA
"496",NA,NA,15.22,NA,NA,NA,NA,NA
