"Date","Negative"
2021-08-13,28.9829396670249
2021-08-20,28.1036010221003
2021-08-27,28.1752379547179
2021-09-03,28.1068733298141
2021-09-10,28.0652896737438
2021-09-17,27.9774640749736
2021-09-24,28.1167186476847
2021-10-01,28.2027917921175
2021-10-08,28.0555396428501
2021-10-15,28.0694193501834
2021-10-22,28.1502365146897
2021-10-29,28.2728358941681
2021-11-05,28.3515887163249
2021-11-12,28.4170303665839
2021-11-19,28.5853940369587
2021-11-26,28.102764388898
2021-12-03,27.237005099614
2021-12-10,27.2094036143328
2021-12-17,26.6152181375503
2021-12-24,26.6076108805624
2021-12-31,26.6393667687049
2022-01-07,26.5413651781355
2022-01-14,26.4612850507109
2022-01-21,26.1095168515348
2022-01-28,26.0922610558709
2022-02-04,25.5219867301314
2022-02-11,24.1141716356593
