"Date","Positive"
2021-08-13,13.1725790182131
2021-08-20,13.2511531406835
2021-08-27,15.1530706132509
2021-09-03,14.9716784250113
2021-09-10,15.1472642585629
2021-09-17,15.9563788092629
2021-09-24,15.5673677866519
2021-10-01,14.7456562816756
2021-10-08,14.1831757975319
2021-10-15,15.0253754766673
2021-10-22,16.3300491606356
2021-10-29,15.9302600577841
2021-11-05,15.8261038120707
2021-11-12,16.2245121925753
2021-11-19,16.0985560771892
2021-11-26,16.0460919558341
2021-12-03,15.9044039760072
2021-12-10,16.4068342685692
2021-12-17,15.2804580624453
2021-12-24,15.2457008199371
2021-12-31,14.4537619395995
2022-01-07,13.8751926495675
2022-01-14,13.4546301776943
2022-01-21,13.2167389189977
2022-01-28,13.1399949785056
2022-02-04,13.2644803970742
2022-02-11,13.1032255328101
