"","New Zealand Emissions Trading System","European Union Emissions Trading System","Korean Emissions Trading System","United Kingdom Emissions Trading Scheme","China National Emissions Trading System","Hubei (Pilot) Emissions Trading System"
"336",11.199779856907,16.21,NA,NA,NA,NA
"337",11.2183020948181,16.1,NA,NA,NA,NA
"338",11.0176390773406,16.23,NA,NA,NA,NA
"339",10.9943674176776,16.49,NA,NA,NA,NA
"340",11.1214594861119,16.39,NA,NA,NA,NA
"341",11.1582843457435,16.5,NA,NA,NA,NA
"342",11.0530004852537,16.7,NA,NA,NA,NA
"343",10.9409190371991,16.73,NA,NA,NA,NA
"344",11.0625438454482,16.69,NA,NA,NA,NA
"345",11.250414227328,16.45,NA,NA,NA,NA
"346",11.2934523479514,16.6,NA,NA,NA,NA
"347",11.2030905077263,16.59,NA,NA,NA,NA
"348",11.0709318497914,16.57,NA,NA,NA,NA
"349",11.3109534714852,16.41,NA,NA,NA,NA
"350",11.2977014059362,16.46,NA,NA,NA,NA
"351",11.177347242921,16.4,NA,NA,NA,NA
"352",11.1521092631347,16.43,NA,NA,NA,NA
"353",11.1141906873614,16.17,NA,NA,NA,NA
"354",11.127719647899,16.18,NA,NA,NA,NA
"355",11.3118352186392,16.03,NA,NA,NA,NA
"356",11.3048368953881,15.88,NA,NA,NA,NA
"357",11.3803646246178,15.98,NA,NA,NA,NA
"358",11.3990812680769,15.85,NA,NA,NA,NA
"359",11.3475991050427,16.02,NA,NA,NA,NA
"360",11.3779662959991,16.41,NA,NA,NA,NA
"361",11.3577845167935,16.83,NA,NA,NA,NA
"362",11.3597344626302,16.84,NA,NA,NA,NA
"363",11.2809729483974,16.63,NA,NA,NA,NA
"364",11.1906641109482,NA,NA,NA,NA,NA
"365",11.0807189907335,16.51,NA,NA,NA,NA
"366",NA,16.45,NA,NA,NA,NA
"367",11.1042738867756,16.38,NA,NA,NA,NA
"368",11.1856192944889,16.22,NA,NA,NA,NA
"369",11.2899556364464,16.37,NA,NA,NA,NA
"370",11.3857978662384,16.31,NA,NA,NA,NA
"371",11.2528344671202,NA,NA,NA,NA,NA
"372",11.2534724190714,16.15,NA,NA,NA,NA
"373",11.2861041619286,16.03,NA,NA,NA,NA
