"Date","TCI","Model_Success","Num_Variables","Serial_Autocorrelation_p_value","Stability","Normality_p_value"
2017-11-10,5.35927853170804,1,5,NA,NA,NA
2017-11-17,5.5232403235227,1,5,NA,NA,NA
2017-11-24,5.52164007122932,1,5,NA,NA,NA
2017-12-01,5.76509500154878,1,5,NA,NA,NA
2017-12-08,5.99297315135832,1,5,NA,NA,NA
2017-12-15,5.76127141607337,1,5,NA,NA,NA
2017-12-22,5.76811032869288,1,5,NA,NA,NA
2017-12-29,5.83444997545976,1,5,NA,NA,NA
2018-01-05,6.15699831098312,1,5,NA,NA,NA
2018-01-12,6.51502539422085,1,5,NA,NA,NA
2018-01-19,7.29025915170557,1,5,NA,NA,NA
2018-01-26,7.11722452199525,1,5,NA,NA,NA
2018-02-02,7.30390033386883,1,5,NA,NA,NA
2018-02-09,7.83125790827225,1,5,NA,NA,NA
2018-02-16,7.86980100196521,1,5,NA,NA,NA
2018-02-23,7.9235520632103,1,5,NA,NA,NA
2018-03-02,8.01408181620326,1,5,NA,NA,NA
2018-03-09,8.71173936886963,1,5,NA,NA,NA
2018-03-16,8.42454608003138,1,5,NA,NA,NA
2018-03-23,8.4946178175009,1,5,NA,NA,NA
2018-03-30,8.58062992404034,1,5,NA,NA,NA
2018-04-06,8.68303527299677,1,5,NA,NA,NA
2018-04-13,8.82465820180678,1,5,NA,NA,NA
2018-04-20,8.10752212671149,1,5,NA,NA,NA
2018-04-27,8.37392194368325,1,5,NA,NA,NA
2018-05-04,7.70246712696065,1,5,NA,NA,NA
2018-05-11,7.7563713845416,1,5,NA,NA,NA
2018-05-18,6.67263668916653,1,5,NA,NA,NA
2018-05-25,7.5379057507635,1,5,NA,NA,NA
2018-06-01,6.61442568243282,1,5,NA,NA,NA
2018-06-08,7.1244765399474,1,5,NA,NA,NA
2018-06-15,8.28327076024492,1,5,NA,NA,NA
2018-06-22,9.60963809489658,1,5,NA,NA,NA
2018-06-29,8.02005209930596,1,5,NA,NA,NA
2018-07-06,8.03558976246198,1,5,NA,NA,NA
2018-07-13,8.05881771019406,1,5,NA,NA,NA
2018-07-20,7.25297660621675,1,5,NA,NA,NA
2018-07-27,7.4314161994694,1,5,NA,NA,NA
2018-08-03,7.33975097212674,1,5,NA,NA,NA
2018-08-10,7.01790236738997,1,5,NA,NA,NA
2018-08-17,6.97786684162404,1,5,NA,NA,NA
2018-08-24,7.2967586863766,1,5,NA,NA,NA
2018-08-31,6.96003703234995,1,5,NA,NA,NA
2018-09-07,6.90465172962658,1,5,NA,NA,NA
2018-09-14,6.09531804263731,1,5,NA,NA,NA
2018-09-21,6.31815279316226,1,5,NA,NA,NA
2018-09-28,6.38444726066608,1,5,NA,NA,NA
2018-10-05,5.9890882066579,1,5,NA,NA,NA
2018-10-12,6.94815441993614,1,5,NA,NA,NA
2018-10-19,6.82551852929169,1,5,NA,NA,NA
2018-10-26,6.93868482697967,1,5,NA,NA,NA
2018-11-02,6.92641167581736,1,5,NA,NA,NA
2018-11-09,7.40861627929032,1,5,NA,NA,NA
2018-11-16,7.63231458095924,1,5,NA,NA,NA
2018-11-23,8.01968397824717,1,5,NA,NA,NA
2018-11-30,7.79171826771454,1,5,NA,NA,NA
2018-12-07,7.62477474363545,1,5,NA,NA,NA
2018-12-14,7.22606788471057,1,5,NA,NA,NA
2018-12-21,7.17310665154947,1,5,NA,NA,NA
2018-12-28,6.79091952357154,1,5,NA,NA,NA
2019-01-04,6.30528503325367,1,5,NA,NA,NA
2019-01-11,6.02436674694532,1,5,NA,NA,NA
2019-01-18,5.556668485541,1,5,NA,NA,NA
2019-01-25,5.49916227388469,1,5,NA,NA,NA
2019-02-01,5.69365507089756,1,5,NA,NA,NA
